Source,Target,Type,Id,Label,timeset,Weight
AlshimaaMorsi,ayfaraho,Directed,341262,,,1
AlshimaaMorsi,A3M_MORSY,Directed,341407,,,1
AlhawaliAa,A3M_MORSY,Directed,331647,,,1
qahtani_s1,turkistantuzbah,Directed,562507,,,1
Kh_OZ,turkistantuzbah,Directed,426898,,,1
Husain_Alq,turkistantuzbah,Directed,409605,,,1
fahadlghofaili,turkistantuzbah,Directed,385875,,,1
AlshimaaMorsi,turkistantuzbah,Directed,340852,,,1
MajedAlasmariAP,MhamedKrichen,Directed,1064,,,1
mahwe311,MhamedKrichen,Directed,446601,,,1
GamalSultan1,MhamedKrichen,Directed,394772,,,1
fahadlghofaili,MhamedKrichen,Directed,386019,,,1
rdooan,933556265,Directed,564007,,,1
rdooan,933556882,Directed,572169,,,1
rdooan,933556634,Directed,568149,,,1
rdooan,933557277,Directed,576068,,,1
rdooan,3yyash,Directed,514125,,,1
rdooan,7usaini7,Directed,514124,,,1
rdooan,A_AlAthbah,Directed,514123,,,1
rdooan,AbdallahMarouf,Directed,514117,,,1
rdooan,Abdurrahmanezz,Directed,514114,,,1
rdooan,abohamzahasanat,Directed,514113,,,1
rdooan,AboShla5Libraly,Directed,514112,,,1
rdooan,abuabdelelah,Directed,514111,,,1
rdooan,abuhilalah,Directed,514110,,,1
rdooan,abulojain1,Directed,514109,,,1
rdooan,AD_As3ad,Directed,514107,,,1
rdooan,adham922,Directed,514106,,,1
rdooan,afaaa73,Directed,514104,,,1
rdooan,ahjh_althani,Directed,514103,,,1
rdooan,AlArabiya_Brk,Directed,514089,,,1
rdooan,AlHerbesh,Directed,514084,,,1
rdooan,Ali_Alomary,Directed,514083,,,1
rdooan,AliBadahdah,Directed,514081,,,1
rdooan,AljamalSalma,Directed,514080,,,1
rdooan,AlkamiK,Directed,514079,,,1
rdooan,almalki_80,Directed,514077,,,1
rdooan,almuraisy,Directed,514074,,,1
rdooan,alrotayyan,Directed,514071,,,1
rdooan,Altabtabie,Directed,514069,,,1
rdooan,althani_faisal,Directed,514068,,,1
rdooan,amansouraja,Directed,514065,,,1
rdooan,ammr,Directed,514064,,,1
rdooan,Anas7asan,Directed,514058,,,1
rdooan,Ania27El,Directed,514057,,,1
rdooan,AsemAlnabeh,Directed,514053,,,1
rdooan,Assaadtaha,Directed,514049,,,1
rdooan,awadalqarni,Directed,514048,,,1
rdooan,AymanNour,Directed,514045,,,1
rdooan,Azzamhuthaifa2,Directed,514043,,,1
rdooan,AzzamTamimi,Directed,514042,,,1
rdooan,Dr_EyadQun,Directed,514031,,,1
rdooan,Dr_Heba_Raouf,Directed,514030,,,1
rdooan,dralabdullatif,Directed,514027,,,1
rdooan,drassagheer,Directed,514026,,,1
rdooan,Drbakkar,Directed,514025,,,1
rdooan,drsunhat,Directed,514022,,,1
rdooan,ELHAMBADER1,Directed,514021,,,1
rdooan,eng_alkandari,Directed,514019,,,1
rdooan,FadelSoliman,Directed,514016,,,1
rdooan,ghadaoueiss,Directed,514011,,,1
rdooan,ghathami,Directed,514010,,,1
rdooan,GwadyM,Directed,514009,,,1
rdooan,HadiAlabdallah,Directed,514008,,,1
rdooan,hanadyhalawani,Directed,514003,,,1
rdooan,hayaalshatti,Directed,513998,,,1
rdooan,HosamYahiaAJ,Directed,513996,,,1
rdooan,houssam_alghali,Directed,513995,,,1
rdooan,huthaifaabdulah,Directed,513994,,,1
rdooan,IlhanMN,Directed,513988,,,1
rdooan,ismail_yasa,Directed,513986,,,1
rdooan,IsraeliAffairs,Directed,513985,,,1
rdooan,jaberalharmi,Directed,513984,,,1
rdooan,jamilfarsi,Directed,513982,,,1
rdooan,jhelles,Directed,513980,,,1
rdooan,JnAlMarri,Directed,513978,,,1
rdooan,KarenAttiah,Directed,513975,,,1
rdooan,khaledabushadi,Directed,513971,,,1
rdooan,KhaledSafi,Directed,513969,,,1
rdooan,Khalilalanani,Directed,513967,,,1
rdooan,khanfarw,Directed,513965,,,1
rdooan,LoveLiberty_2,Directed,513961,,,1
rdooan,MaysAlsuwaidan,Directed,513951,,,1
rdooan,melhamy,Directed,513950,,,1
rdooan,MidoAlhajji,Directed,513948,,,1
rdooan,MohamadAlarefe,Directed,513945,,,1
rdooan,mosa_abumarzook,Directed,513938,,,1
rdooan,NabilAlawadhy,Directed,513932,,,1
rdooan,naseralomar,Directed,513928,,,1
rdooan,nasser_duwailah,Directed,513927,,,1
rdooan,NasserIbnHamad,Directed,513926,,,1
rdooan,nsfadala,Directed,513925,,,1
rdooan,OlaAlfares,Directed,513922,,,1
rdooan,omayyajoha,Directed,513919,,,1
rdooan,otsaad,Directed,513917,,,1
rdooan,RabeaHafiz,Directed,513911,,,1
rdooan,ramzan_alnaimi,Directed,513908,,,1
rdooan,RealEmanAyad,Directed,513905,,,1
rdooan,RTErdogan,Directed,513900,,,1
rdooan,saadiahmufarreh,Directed,513898,,,1
rdooan,SaawtApp,Directed,513897,,,1
rdooan,Saif_abdelfatah,Directed,513896,,,1
rdooan,SamarDJarrah,Directed,513893,,,1
rdooan,SamihJad,Directed,513891,,,1
rdooan,ShaikhDadow,Directed,513888,,,1
rdooan,SultanAljumeri,Directed,513885,,,1
rdooan,TamerMisshal,Directed,513882,,,1
rdooan,trikaofficial,Directed,513878,,,1
rdooan,WajdWaqfi,Directed,513876,,,1
rdooan,wassilaoulmi,Directed,513875,,,1
rdooan,yahyahawwa,Directed,513874,,,1
rdooan,yaktay,Directed,513873,,,1
rdooan,ZiadAldrees,Directed,513867,,,1
rdooan,933556605,Directed,567772,,,1
NasserAlajmi89,rdooan,Directed,486619,,,1
Husain_Alq,rdooan,Directed,409656,,,1
Dr_Utaybi,rdooan,Directed,378287,,,1
Politic_Star,Dr_EyadQun,Directed,505387,,,1
NasserAlajmi89,Dr_EyadQun,Directed,486979,,,1
islamicommapart,Dr_EyadQun,Directed,419416,,,1
Husain_Alq,Dr_EyadQun,Directed,409781,,,1
AlhawaliAa,Dr_EyadQun,Directed,331457,,,1
alaa_q,DiwanLondon,Directed,BM04635,,,30
Abdullah96wa,DiwanLondon,Directed,BM01604,,,30
SaudiReformers,DiwanLondon,Directed,528446,,,1
Politic_Star,DiwanLondon,Directed,505391,,,1
NasserAlajmi89,DiwanLondon,Directed,486986,,,1
MediaCenterAA,DiwanLondon,Directed,453904,,,1
M_alumri,DiwanLondon,Directed,442946,,,1
Hudhaif9,DiwanLondon,Directed,408948,,,1
fahadlghofaili,DiwanLondon,Directed,386179,,,1
Dr_Utaybi,DiwanLondon,Directed,378471,,,1
DiasporaConfKsa,DiwanLondon,Directed,376560,,,1
Alshamsi789,DiwanLondon,Directed,340417,,,1
AlhawaliAa,DiwanLondon,Directed,331463,,,1
933556265,933556606,Directed,567950,,,10
AlshimaaMorsi,933556606,Directed,567922,,,1
Aldiwan2030,933556606,Directed,567927,,,1
fahadlghofaili,933556606,Directed,567900,,,1
drassagheer,933556606,Directed,567904,,,1
Hudhaif9,933556606,Directed,567890,,,1
iabomar,933556606,Directed,567887,,,1
Husain_Alq,933556606,Directed,567889,,,1
islamicommapart,933556606,Directed,567881,,,1
MajedAlasmariAP,933556606,Directed,567808,,,1
GamalSultan1,ahjh_althani,Directed,394873,,,1
drassagheer,ahjh_althani,Directed,379004,,,1
AlshimaaMorsi,ahjh_althani,Directed,341367,,,1
qahtani_s1,docshayji,Directed,562711,,,1
MajedAlasmariAP,docshayji,Directed,951,,,1
MediaCenterAA,docshayji,Directed,453903,,,1
M_alumri,docshayji,Directed,442945,,,1
islamicommapart,docshayji,Directed,419418,,,1
Hudhaif9,docshayji,Directed,408947,,,1
GamalSultan1,docshayji,Directed,394834,,,1
fahadlghofaili,docshayji,Directed,386178,,,1
drassagheer,docshayji,Directed,378962,,,1
alzuair,docshayji,Directed,342433,,,1
Alshamsi789,docshayji,Directed,340416,,,1
Alshamsi789,933556570,Directed,567501,,,1
Alshamsi789,933556568,Directed,567298,,,1
Alshamsi789,933556244,Directed,563800,,,1
Alshamsi789,933556356,Directed,565363,,,1
